0,"NATION",48.84811123157566,2.3980040127977436
1,"CONCORDE",48.86567809641779,2.321193771801867
2,"BASTILLE",48.85297567465423,2.3692188244433434
3,"LOUVRE-RIVOLI",48.86087985759375,2.340973275817903
4,"BERAULT",48.84536875015732,2.428244509620486
5,"CHAMPS-ELYSEES-CLEMENCEAU",48.867744026068706,2.3141227803741415
6,"REUILLY-DIDEROT",48.8473528769588,2.3858425400402448
7,"GEORGE V",48.87204561942636,2.3007691856449535
8,"ARGENTINE",48.87567248598795,2.289444164481448
9,"FRANKLIN-ROOSEVELT",48.869010427937624,2.3102531808960265
10,"PALAIS-ROYAL (MUSEE DU LOUVRE)",48.8623718215243,2.3365736007364304
11,"PONT DE NEUILLY",48.88550610941816,2.258527470197358
12,"SAINT-MANDE",48.84623825662077,2.418999828109256
13,"CHATEAU DE VINCENNES",48.84432514436857,2.440552346211822
14,"ESPLANADE DE LA DEFENSE",48.88835806016618,2.249937212862802
15,"CHATELET",48.85856967247972,2.347933245835307
16,"PORTE MAILLOT",48.87800617627899,2.2824656400013326
17,"CHARLES DE GAULLE-ETOILE",48.8739310942679,2.295127251650101
18,"TUILERIES",48.86478016250008,2.3290949544294275
19,"LES SABLONS (JARDIN D'ACCLIMATATION)",48.88129918549113,2.2719151760177914
20,"PORTE DE VINCENNES",48.847016518419125,2.410816882334764
21,"GARE DE LYON",48.84555978708341,2.37344920496318
22,"SAINT-PAUL (LE MARAIS)",48.85513451823504,2.3613343390676635
23,"HOTEL DE VILLE",48.857355927169515,2.3520735668587185
24,"LA DEFENSE (GRANDE ARCHE)",48.891826754836515,2.237992043215619
25,"VICTOR HUGO",48.869864912484076,2.285226207250439
26,"PIGALLE",48.88242252841757,2.337254682101535
27,"LA CHAPELLE",48.884388698358165,2.3592765642767297
28,"PHILIPPE AUGUSTE",48.85837884146994,2.3897347327397043
29,"PLACE DE CLICHY",48.88345565159549,2.3273749934103556
30,"PERE-LACHAISE",48.86316120506396,2.3872604001843536
31,"PORTE DAUPHINE (MARECHAL DE LATTRE DE TASSIGNY)",48.87179221641751,2.27486996119569
32,"BARBES-ROCHECHOUART",48.88368010927906,2.3495328036519307
33,"BELLEVILLE",48.87228732058717,2.3767376773224687
34,"COLONEL FABIEN",48.87818498179219,2.3701745466363584
35,"VILLIERS",48.88132429394468,2.3165967615088174
36,"BLANCHE",48.88377051883179,2.332485148274094
37,"STALINGRAD",48.88418929420877,2.367030441974567
38,"ANVERS",48.882871690180586,2.344163572800391
39,"MONCEAU",48.88057689074842,2.309415946164807
40,"ALEXANDRE-DUMAS",48.856426348325236,2.394554257654992
41,"AVRON",48.851193819213286,2.398239140823123
42,"JAURES",48.88276854674882,2.36994579899074
43,"MENILMONTANT",48.865705787623,2.3844293751632057
44,"TERNES",48.87822804050767,2.2981214325821844
45,"COURCELLES",48.87927215163157,2.303298546682486
46,"COURONNES",48.86932916949657,2.3805363661617247
47,"ROME",48.88207083393704,2.3203983393099863
48,"PEREIRE",48.8850310612536,2.2971351115061647
49,"SENTIER",48.8673503814313,2.3475672354150805
50,"REPUBLIQUE",48.86725794359829,2.3640373036390545
51,"REAUMUR-SEBASTOPOL",48.86628035856129,2.352484796837845
52,"ANATOLE-FRANCE",48.892018626328884,2.2855174447944844
53,"PORTE DE BAGNOLET",48.864336535483645,2.4088253760377283
54,"PORTE DE CHAMPERRET",48.88573915969202,2.2918606206755348
55,"QUATRE SEPTEMBRE",48.86966057219203,2.3363282816417112
56,"LOUISE MICHEL",48.889269622246026,2.2880551248039036
57,"ARTS-ET-METIERS",48.865551863634785,2.356108155120312
58,"WAGRAM",48.883712476037346,2.3055577575143036
59,"PONT DE LEVALLOIS-BECON",48.89730990517954,2.2807686428069003
60,"SAINT-LAZARE",48.87568150641968,2.325591584819959
61,"GALLIENI (PARC DE BAGNOLET)",48.86326252650054,2.415975368499958
62,"GAMBETTA",48.864782700687876,2.398445833771861
63,"PARMENTIER",48.86525985667316,2.3747570817167682
64,"EUROPE",48.87906043921274,2.3229746324058937
65,"BOURSE",48.86876179259638,2.3406741288121005
66,"RUE SAINT-MAUR",48.86408940574645,2.3808997885521195
67,"OPERA",48.870720976292084,2.3322547435729586
68,"TEMPLE",48.866764167814516,2.3615713270327316
69,"MALESHERBES",48.88253647289218,2.311009243005514
70,"HAVRE-CAUMARTIN",48.8734618906704,2.3284804844734768
71,"SAINT-FARGEAU",48.871699810971116,2.4042987242021825
72,"PELLEPORT",48.86822334760734,2.401324380544102
73,"PORTE DES LILAS",48.8769382235089,2.4063765669297816
74,"SIMPLON",48.89412344466592,2.347245444443029
75,"VAVIN",48.84205985758205,2.328867050437212
76,"CITE",48.85568485028629,2.3462029295287157
77,"PORTE D'ORLEANS (GENERAL LECLERC)",48.82281706023495,2.325072625148001
78,"SAINT-SULPICE",48.8511463550549,2.3309628563664644
79,"SAINT-PLACIDE",48.84701184016864,2.327055111355132
80,"STRASBOURG-SAINT-DENIS",48.86963236518746,2.35450206308924
81,"MONTPARNASSE-BIENVENUE",48.844189508526796,2.324441232433701
82,"SAINT-GERMAIN DES PRES",48.85344723773834,2.333046326044867
83,"GARE DE L'EST (VERDUN)",48.87669583602489,2.3579925105504023
84,"MARCADET-POISSONNIERS",48.891543930630554,2.3493711153819112
85,"ETIENNE MARCEL",48.86371036646956,2.3489831961271017
86,"CHATEAU ROUGE",48.887086283050444,2.3493700732513783
87,"SAINT-MICHEL",48.853599907885794,2.3439962410940125
88,"CHATEAU D'EAU",48.8724541509199,2.3560561681302907
